id,year,dateInserted,datePublished,doctype,doi,pmid,linkout,timesCited,altmetric,venue,publisher,title,openAccess,concepts,meshTerms
pub.1127865345,2020,5/28/2020,5/24/2020,article,10.1101/2020.05.20.20108126,,https://www.medrxiv.org/content/medrxiv/early/2020/05/24/2020.05.20.20108126.full.pdf,0,257,medRxiv,Cold Spring Harbor Laboratory,Susceptibility to and transmission of COVID-19 amongst children and adolescents compared with adults: a systematic review and meta-analysis,oa_all • green_pub,contact-tracing study • population-screening studies • systematic review • infected contacts • index case • pooled odds ratio • rapid systematic review • viral load • symptomatic cases • clinical series • odds ratio • inclusion criteria • social contact patterns • lower odds • testing cohort • larger study • young people • Additional studies • infection prevalence • school contacts • adults • children • substantial heterogeneity • preliminary evidence • prevalence • household clusters • professional contact • adolescents • susceptibility • review • findings • population level • weak evidence • low susceptibility • contact patterns • handsearching • study • random effects • symptoms • cohort • PubMed • cases • evidence • odds • virus • people • infectivity • role • transmission • lesser role • role of children • screening • conclusion • minimal transmission • contact • levels • differences • criteria • Stockholm • background • effect • Netherlands • heterogeneity • patterns • quality • degree • ratio • Switzerland • series • England • biased estimates • information • questions • municipalities • Spain • reference • method • Germany • estimates • load • Iceland • behavior • clusters • SARS-CoV-2 virus • SARS-CoV-2 • medRxiv • Results 18 studies • COVID-19 • child index case • population-based school contact • teacher index cases • Italian municipal study • municipal study • lower SARS-CoV-2 prevalence • SARS-CoV-2 prevalence • infectivity of children • transmission of COVID-19,
pub.1127885261,2020,5/28/2020,5/26/2020,article,10.1101/2020.05.23.20099671,,https://www.medrxiv.org/content/medrxiv/early/2020/05/26/2020.05.23.20099671.full.pdf,0,2,medRxiv,Cold Spring Harbor Laboratory,Psychiatric Predictors of COVID-19 Outcomes in a Skilled Nursing Facility Cohort,oa_all • green_pub,medical risk factors • hospital admission • ICU admission • risk factors • psychiatric predictors • medical risk • intensive care unit admission • Multivariate logistic regression modeling • care unit admission • chronic psychiatric disorder • nursing facility residents • logistic regression modeling • chronic anxiety disorders • skilled nursing facility residents • unit admission • adverse outcomes • mental status • medical records • neuroendocrine modulation • elevated risk • immune functioning • facility residents • psychiatric disorders • admission • greater risk • substantial risk • mortality • anxiety disorders • dementia • powerful predictor • regression modeling • morbidity • outcomes • comparable findings • risk • patients • predictors • cohort • disorders • anxiety • additional factors • inflammation • factors • brain • death • status • findings • residents • modulation • functioning • records • mechanism • relationship • AMS • variability • observed variability • link • model • modeling • simplified model • COVID-19 • COVID-19 outcomes • COVID-19 morbidity • Skilled Nursing Facility Cohort • Nursing Facility Cohort • Facility Cohort,
pub.1127895967,2020,5/28/2020,5/26/2020,article,10.1101/2020.05.22.20102525,,https://www.medrxiv.org/content/medrxiv/early/2020/05/26/2020.05.22.20102525.full.pdf,0,1,medRxiv,Cold Spring Harbor Laboratory,Study on the expression levels of antibodies against SARS-CoV-2 at different period of disease and its related factors in 192 cases of COVID-19 patients,oa_all • green_pub,median peak concentration • negative RT-PCR results • results of patients • levels of antibodies • duration of virus • titers of IgG • peak concentration • related factors • detection of IgM • concentration of antibody • symptom onset • most patients • study cohort • analysis of antibodies • RT-PCR results • IgM titers • virus clearance • People's Hospital • seroconversion time • immune mechanisms • patient sera • patients • healthy people • disease severity • IgM • global pandemic • weeks • hospital • fifth week • majority of IgM • antibodies • disease • IgG • chemiluminescence immunoassay • cohort • expression levels • continuous proliferation • current outbreak • titers • severity • serum • antibody expression • kinetic profiles • different groups • clearance • pandemic • particular concern • age • factors • virus • levels • total • onset • proliferation • duration • immunoassay • days • concentration • outbreak • gender • group • majority • profile • expression • period • different periods • study • cases • results • people • suspects • host • mechanism • concern • time • detection • peak • contrary • analysis • Guangzhou • questions • channels • Au/ • world • Coronavirus Disease • COVID-19 • SARS-CoV-2 • COVID-19 patients • hospital of Guangzhou • Guangzhou Eighth People's Hospital • Eighth People's Hospital • COVID-19 suspects • peak of IgM,
pub.1127883116,2020,5/28/2020,5/25/2020,article,10.1101/2020.05.20.20107730,,https://www.medrxiv.org/content/medrxiv/early/2020/05/25/2020.05.20.20107730.full.pdf,0,42,medRxiv,Cold Spring Harbor Laboratory,Epidemiological study to detect active SARS-CoV-2 infections and seropositive persons in a selected cohort of employees in the Frankfurt am Main metropolitan area,oa_all • green_pub,antibody-positive persons • serum samples • SARS-CoV. • cohort of employees • positive serum samples • seropositive persons • nasopharyngeal swabs • RT-PCR • healthy volunteers • epidemiological studies • infection • persons • cohort • swabs • volunteers • main metropolitan areas • metropolitan area • main metropolitan regions • samples • study • region • area • metropolitan region • Frankfurt • Germany • employees • Severe acute respiratory syndrome-related coronavirus 2 (SARS-CoV-2) infections • acute respiratory syndrome-related coronavirus 2 (SARS-CoV-2) infections • respiratory syndrome-related coronavirus 2 (SARS-CoV-2) infections • syndrome-related coronavirus 2 (SARS-CoV-2) infections • coronavirus 2 (SARS-CoV-2) infections • positive sera cross-neutralized SARS-CoV. • sera cross-neutralized SARS-CoV. • cross-neutralized SARS-CoV. • active SARS-CoV-2 infections • SARS-CoV-2 infections,
pub.1127890569,2020,5/28/2020,5/26/2020,article,10.1101/2020.05.21.20074682,,https://www.medrxiv.org/content/medrxiv/early/2020/05/26/2020.05.21.20074682.full.pdf,0,1,medRxiv,Cold Spring Harbor Laboratory,Leukopenia of Asymptomatic COVID-19 Infections under 18 Years Old in Recovery Stage,oa_all • green_pub,clinical characteristics • World Health Organization • asymptomatic infection • single-center cohort study • short treatment period • Methods Retrospective • cluster outbreaks • cohort study • asymptomatic cases • treatment period • novel coronavirus • recovery stage • treatment data • patients • leukopenia • infection • infection number • Health Organization • year olds • final date • days • years • hospital • cases • coronavirus • stage • outbreak • olds • retrospective • period • differences • study • number • background • date • characteristics • family • laboratory • data • Wuhan • types • results • organization • city • China • Hubei • living stories • Guiyang • story • coronavirus 2019 • COVID-19 • Guizhou Provincial Staff Hospital • Provincial Staff Hospital • Staff Hospital • COVID-19 infections • COVID infections • average treatment period 14 days • treatment period 14 days • period 14 days • familial cluster outbreak • average infection number • asymptomatic COVID-19 infections • Conclusions Leukopenia,
pub.1127901422,2020,5/28/2020,5/26/2020,article,10.1101/2020.05.21.20105486,,https://www.medrxiv.org/content/medrxiv/early/2020/05/26/2020.05.21.20105486.full.pdf,0,12,medRxiv,Cold Spring Harbor Laboratory,SARS-CoV-2 RNA detected in blood samples from patients with COVID-19 is not associated with infectious virus,oa_all • green_pub,post symptom onset • blood samples • symptom onset • RT-PCR • serum samples • clinical cohort • viral RNA • days post symptom onset • PCR-positive sera • RNA-positive samples • PCR-positive blood samples • low viral load • associated clinical characteristics • PCR-positive samples • clinical characteristics • acute infection • viral load • convalescent samples • respiratory samples • blood products • severe disease • virus isolation • NHS Blood • cytopathic effect • infectious virus • laboratory diagnosis • infection risk • laboratory significance • biosafety precautions • relevant studies • systematic literature review • cycle threshold values • blood • RNA detection • plasma samples • patients • cohort • infection • cell cultures • literature review • onset • transplant • RNA • copy number • disease • diagnosis • serum • virus • risk • PCR • review • samples • precautions • subset • evidence • sample types • minority • significance • study • cases • increase • detection • effect • culture • frequency • threshold value • isolation • number • types • understanding • characteristics • values • load • products • work • SARS-CoV-2 infection • SARS-CoV-2 RNA • frequency of vRNA • UK clinical cohort • convalescent COVID-19 cases • COVID-19 cases • convalescent plasma samples • estimate 10 • day 20 post symptom onset • low vRNA copy numbers • vRNA copy numbers • detectable SARS-CoV-2 RNA • infectious SARS-CoV-2 • SARS-CoV-2 • previous COVID-19 • COVID-19,
pub.1127885174,2020,5/28/2020,5/26/2020,article,10.1101/2020.05.25.20112912,,https://www.medrxiv.org/content/medrxiv/early/2020/05/26/2020.05.25.20112912.full.pdf,0,3,medRxiv,Cold Spring Harbor Laboratory,"Prevalence and risk factors for mortality related to COVID-19 in a severely affected area of Madrid, Spain",oa_all • green_pub,risk factors • hospital death • clinical records • mortality ratio • crude mortality rate ratio • multivariable logistic regression methods • consecutive adult patients • lower lymphocyte counts • coronary heart disease • mortality rate ratios • electronic clinical records • lymphocyte count • median age • adult patients • emergency department • secondary hospitals • heart disease • excess mortality • crude mortality ratio • cardiovascular disease • high LDH • multivariable regression • Chinese series • patients • logistic regression method • hospital • mortality • laboratory data • rate ratio • comorbidities • age • cohort • disease • death • affected area • hypertension • hospitalization • factors • prevalence • survivors • records • pandemic • odds • outcomes • men • counts • Department • regression • years • LDH • ratio • differences • study • evaluation • Madrid • increase • Comunidad de Madrid • data • Spain • units • regression method • area • series • results • questions • method • peak • coronavius disease 2019 • disease 2019 • severe acute respiratory syndrome coronavirus 2 • acute respiratory syndrome coronavirus 2 • respiratory syndrome coronavirus 2 • syndrome coronavirus 2 • coronavirus 2 • de Madrid • world's highest crude mortality rate ratios • 's highest crude mortality rate ratios • COVID-19 • laboratory-confirmed COVID-19,
pub.1127899835,2020,5/28/2020,5/1/2020,article,10.1016/j.medidd.2020.100049,,https://doi.org/10.1016/j.medidd.2020.100049,0,,Medicine in Drug Discovery,Elsevier,BCG vaccination strategy implemented to reduce the impact of COVID-19: Hype or Hope?,oa_all • gold_pure,World Health Organization • BCG vaccination • BCG immunization • Bacillus Calmette-Guerin (BCG) vaccine • BCG vaccination strategy • adaptive immune responses • vaccination strategies • clinical trials • low incidence • immune response • Health Organization • vaccination • such associations • immunization • vaccine • cohort • tuberculosis • incidence • trials • virus • children • epidemiologists • association • parasites • hope • response • protection • regard • body • bacteria • concern • strategies • impact • knowledge • countries • experts • scientific experts • research • article • organization • hype • experimental proof • shot • proof • analytical research • way • success theory • idea • theory • Calmette-Guerin vaccine • severe acute respiratory syndrome coronavirus-2 • acute respiratory syndrome coronavirus-2 • respiratory syndrome coronavirus-2 • syndrome coronavirus-2 • coronavirus-2 • recent pre-print articles • pre-print articles • mass BCG immunizations • coronavirus disease 2019 • disease 2019 • COVID-19 • thorough analytical research • impact of COVID-19,
pub.1127900058,2020,5/28/2020,5/26/2020,preprint,10.21203/rs.3.rs-30465/v1,,https://www.researchsquare.com/article/rs-30465/v1.pdf,0,,Research Square,Research Square,SARS-CoV-2 prevalence in an asymptomatic cancer cohort - results and consequences for clinical routine,oa_all • green_pub,PCR testing • asymptomatic patients • PCR-positive patients • asymptomatic cancer patients • cancer patient population • awareness of symptoms • asymptomatic cancers • nasopharyngeal swabs • patient population • cancer patients • simulation CT • patients • face mask • PCR prevalence • current pandemic • medical staff • clinical routine • pandemic spread • radiation oncology • prevalence • screening station • prevention measures • symptoms • virus 2 • initial screening • pandemic • present study • staff members • medical system • fractionation scheme • Department • staff • testing capacity • comparable studies • German departments • therapy • testing • vaccine • cohort • infection • cancer • wards • oncology • CT • weeks • swabs • prevention • drugs • measures • treatment • study • questionnaire • hygiene regulations • indications • telephone • screening • population • start • awareness • spread • regulation • room • avoidance strategies • people • consequences • lines • strategies • members • contact • time • routines • subsequent steps • present • results • challenges • beginning • capacity • ban • mask • point • interaction • implementation • system • world • step • first results • order • crisis • educational documents • principles • documents • unprecedented challenges • distance • meters • pillars • crucial pillar • H2 • stations • scheme • severe acute respiratory syndrome corona virus 2 • acute respiratory syndrome corona virus 2 • respiratory syndrome corona virus 2 • syndrome corona virus 2 • corona virus 2 • large German Department • COVID-19 patients • new asymptomatic patients • SARS-CoV-2 • pandemic-adapted implementations • asymptomatic COVID-19 patients • observed PCR prevalence • regular PCR testing • SARS-CoV-2 prevalence,
pub.1127897951,2020,5/28/2020,5/1/2020,article,10.1016/j.amepre.2020.05.002,,https://doi.org/10.1016/j.amepre.2020.05.002,0,3,American Journal of Preventive Medicine,Elsevier,"Clinical Characteristics, Associated Factors, and Predicting COVID-19 Mortality Risk: A Retrospective Study in Wuhan, China",oa_all • gold_bronze,history of diabetes • mortality risk • risk factors • clinical characteristics • male sex • older age • independent risk factor • multivariable logistic regression • potential risk factors • risk score model • novel scoring system • electronic medical records • procalcitonin levels • clinical outcomes • retrospective study • poor prognosis • medical records • associated factors • multivariable regression • spline regression analysis • limited medical resources • scoring system • logistic regression • mortality • patients • global pandemic • laboratory data • procalcitonin • lymphopenia • medical resources • diabetes • admission • regression analysis • characteristic curve • risk • clinicians • present study • age • sex • score model • early stages • factors • regression • prognosis • cohort • study • pandemic • odds • outcomes • best strategy • history • association • conclusion • levels • records • correlation • curves • effective use • analysis • use • characteristics • stage • receiver • data • Wuhan • strategies • area • method • model • China • system • resources • Introduction Coronavirus disease 2019 • Coronavirus disease 2019 • disease 2019 • serious global pandemic • COVID-19 mortality • COVID-19 patients • COVID-19 mortality risk • Results Multivariable regression • COVID-19 mortality risk score model • mortality risk score model • Predicting COVID-19 Mortality Risk,
pub.1127882117,2020,5/28/2020,5/25/2020,article,10.1101/2020.05.22.20108845,,https://www.medrxiv.org/content/medrxiv/early/2020/05/25/2020.05.22.20108845.full.pdf,0,2,medRxiv,Cold Spring Harbor Laboratory,Clinical and molecular characterization of COVID-19 hospitalized patients,oa_all • green_pub,whole exome sequencing • percent of patients • common susceptibility genes • hepatic involvement • mechanical ventilation • respiratory assistance • University Hospital • disease progression • common disorder • infection susceptibility • patients • pathogenic mutations • susceptibility genes • exome sequencing • Italian population • disorders • molecular characterization • private mutations • first report • common genes • percent • hyposmia • hospital • susceptibility • cohort • environmental factors • underlying heritability • significant results • progression • ventilation • mutations • genes • involvement • report • population • half • factors • control • cases • results • background • sequencing • independent cases • average • exception • Siena • number • assistance • knowledge • Italy • model • analyse • heritability • characterization • method • autism-spectrum • lessons • COVID-19 patients • Fiftyone percent • WES of controls • challenging common disorder • strong underlying heritability • Mendelian-like model • virus infection susceptibility • COVID-19 • COVID-19 susceptibility • favorite background • additional host private mutations • host private mutations,
pub.1127881858,2020,5/28/2020,5/26/2020,article,10.1093/gerona/glaa131,32451547,,0,514,The Journals of Gerontology Series A,Oxford University Press (OUP),APOE e4 genotype predicts severe COVID-19 in the UK Biobank community cohort,closed,community cohort • E4 genotype • cohort • genotypes • severe COVID-19 • COVID-19 • UK Biobank community cohort • Biobank community cohort,
pub.1127901299,2020,5/28/2020,5/26/2020,article,10.1101/2020.05.26.20113191,,https://www.medrxiv.org/content/medrxiv/early/2020/05/26/2020.05.26.20113191.full.pdf,0,2,medRxiv,Cold Spring Harbor Laboratory,Improved detection of antibody against SARS-CoV-2 by microsphere-based antibody assay,oa_all • green_pub,mean fluorescent intensity • enzyme immunoassay • serum specimens • seropositive rate • convalescent serum specimens • levels of IgG • detection of antibodies • negative control • influenza patients • clinical microbiology laboratory • vaccine trials • organ donors • antibody test • patients • equivocal range • retrospective diagnosis • immunoglobulin G • cutoff ratio • microbiology laboratory • IgG • antibodies • seropositivity • variable sensitivity • nucleoprotein • specificity • cohort • specimens • protein receptors • diagnosis • serosurveillance • trials • receptors • control • immunoassay • rate • assays • donors • ratio • levels • RBD • fluorescent intensity • time • sensitivity • detection • test • laboratory • cut • intensity • accurate determination • signals • range • determination • domain • MBA • CO ratio • available COVID-19 antibody tests • COVID-19 antibody tests • novel microsphere-based antibody • microsphere-based antibody • SARS-CoV-2 nucleoprotein • seropositive cut • anonymous serum specimens • COVID-19 • NP IgG • anti-RBD • MBA seropositive rate • COVID-19 patients • SARS-CoV-2 antibody • SARS-CoV-2,
pub.1127897673,2020,5/28/2020,5/26/2020,article,10.1007/s00268-020-05599-8,32458019,https://link.springer.com/content/pdf/10.1007/s00268-020-05599-8.pdf,0,,World Journal of Surgery,Springer Nature,The Decreasing Incidence of Acute Appendicitis During COVID-19: A Retrospective Multi-centre Study,oa_all • gold_bronze,acute appendicitis • number of patients • group A • retrospective multi-center study • severity of AA • high-volume centers • multi-center study • retrospective cohort analysis • incidence of AA • disease 19 • mild appendicitis • Decreasing Incidence • preoperative symptoms • Municipality of Jerusalem • uncomplicated appendicitis • peritoneal drainage • clinicopathological features • group B. • group B • treatment pathways • cohort analysis • patients • appendicitis • weekly incidence • incidence • significant decrease • health care • significant differences • weeks • successful resolution • onset • group • further research • surgery • symptoms • severity • pandemic • care • decrease • total • study • drainage • B. • aim • pathway • home • differences • number • center • institutions • comparison • features • length • analysis • Israel • research • municipalities • Jerusalem • resolution • terms • distribution • assumption • coronavirus disease 19 • COVID-19 pandemic • COVID-19 • onset of COVID-19 • postoperative peritoneal drainage,
